Busca;Posicao;Valor_Pesquisado;Tempo_Resposta;Tempo_Ordenar_Vetor;Tempo_Total_Busca
Sequencial; -1; 12787; 3.174000; 0; 3.174000
Ordenado; -1; 12787; 0.008000; 1716354.144000; 1716354.152000
Jump; -1; 12787; 0.003000; 1716354.144000; 1716354.147000
Binaria; -1; 12787; 0.003000; 1716354.144000; 1716354.147000
Sequencial; -1; 10010; 3.169000; 0; 3.169000
Ordenado; -1; 10010; 0.006000; 1716354.144000; 1716354.150000
Jump; -1; 10010; 0.003000; 1716354.144000; 1716354.147000
Binaria; -1; 10010; 0.002000; 1716354.144000; 1716354.146000
Sequencial; -1; 18538; 3.141000; 0; 3.141000
Ordenado; -1; 18538; 0.010000; 1716354.144000; 1716354.154000
Jump; -1; 18538; 0.002000; 1716354.144000; 1716354.146000
Binaria; -1; 18538; 0.003000; 1716354.144000; 1716354.147000
Sequencial; -1; 17703; 3.157000; 0; 3.157000
Ordenado; -1; 17703; 0.011000; 1716354.144000; 1716354.155000
Jump; -1; 17703; 0.002000; 1716354.144000; 1716354.146000
Binaria; -1; 17703; 0.002000; 1716354.144000; 1716354.146000
Sequencial; -1; 16663; 3.241000; 0; 3.241000
Ordenado; -1; 16663; 0.011000; 1716354.144000; 1716354.155000
Jump; -1; 16663; 0.003000; 1716354.144000; 1716354.147000
Binaria; -1; 16663; 0.002000; 1716354.144000; 1716354.146000
Sequencial; -1; 11399; 3.170000; 0; 3.170000
Ordenado; -1; 11399; 0.007000; 1716354.144000; 1716354.151000
Jump; -1; 11399; 0.002000; 1716354.144000; 1716354.146000
Binaria; -1; 11399; 0.002000; 1716354.144000; 1716354.146000
Sequencial; -1; 27863; 3.185000; 0; 3.185000
Ordenado; -1; 27863; 0.015000; 1716354.144000; 1716354.159000
Jump; -1; 27863; 0.002000; 1716354.144000; 1716354.146000
Binaria; -1; 27863; 0.002000; 1716354.144000; 1716354.146000
Sequencial; -1; 23918; 3.182000; 0; 3.182000
Ordenado; -1; 23918; 0.013000; 1716354.144000; 1716354.157000
Jump; -1; 23918; 0.002000; 1716354.144000; 1716354.146000
Binaria; -1; 23918; 0.002000; 1716354.144000; 1716354.146000
