Busca;Posicao;Valor_Pesquisado;Tempo_Resposta;Tempo_Ordenar_Vetor;Tempo_Total_Busca
Busca_Sequencial; -1; 1851; 0.028000; 0; 0.028000
Busca_Sequencial_Ordenado; -1; 1851; 0.004000; 108.877000; 108.881000
Jump_Search; -1; 1851; 0.003000; 108.877000; 108.880000
Busca_Binaria; -1; 1851; 0.002000; 108.877000; 108.879000
Busca_Sequencial; -1; 1537; 0.026000; 0; 0.026000
Busca_Sequencial_Ordenado; -1; 1537; 0.004000; 108.877000; 108.881000
Jump_Search; -1; 1537; 0.002000; 108.877000; 108.879000
Busca_Binaria; -1; 1537; 0.001000; 108.877000; 108.878000
Busca_Sequencial; 2826; 574; 0.017000; 0; 0.017000
Busca_Sequencial_Ordenado; 145; 574; 0.002000; 108.877000; 108.879000
Jump_Search; 145; 574; 0.002000; 108.877000; 108.879000
Busca_Binaria; 145; 574; 0.001000; 108.877000; 108.878000
Busca_Sequencial; -1; 1614; 0.026000; 0; 0.026000
Busca_Sequencial_Ordenado; -1; 1614; 0.004000; 108.877000; 108.881000
Jump_Search; -1; 1614; 0.002000; 108.877000; 108.879000
Busca_Binaria; -1; 1614; 0.002000; 108.877000; 108.879000
Busca_Sequencial; -1; 906; 0.026000; 0; 0.026000
Busca_Sequencial_Ordenado; -1; 906; 0.003000; 108.877000; 108.880000
Jump_Search; -1; 906; 0.002000; 108.877000; 108.879000
Busca_Binaria; -1; 906; 0.001000; 108.877000; 108.878000
Busca_Sequencial; -1; 1801; 0.026000; 0; 0.026000
Busca_Sequencial_Ordenado; -1; 1801; 0.004000; 108.877000; 108.881000
Jump_Search; -1; 1801; 0.002000; 108.877000; 108.879000
Busca_Binaria; -1; 1801; 0.001000; 108.877000; 108.878000
Busca_Sequencial; -1; 937; 0.026000; 0; 0.026000
Busca_Sequencial_Ordenado; -1; 937; 0.003000; 108.877000; 108.880000
Jump_Search; -1; 937; 0.002000; 108.877000; 108.879000
Busca_Binaria; -1; 937; 0.001000; 108.877000; 108.878000
Busca_Sequencial; -1; 609; 0.026000; 0; 0.026000
Busca_Sequencial_Ordenado; -1; 609; 0.003000; 108.877000; 108.880000
Jump_Search; -1; 609; 0.002000; 108.877000; 108.879000
Busca_Binaria; -1; 609; 0.002000; 108.877000; 108.879000
Busca_Sequencial; -1; 80; 0.026000; 0; 0.026000
Busca_Sequencial_Ordenado; -1; 80; 0.002000; 108.877000; 108.879000
Jump_Search; -1; 80; 0.002000; 108.877000; 108.879000
Busca_Binaria; -1; 80; 0.001000; 108.877000; 108.878000
Busca_Sequencial; -1; 1194; 0.026000; 0; 0.026000
Busca_Sequencial_Ordenado; -1; 1194; 0.004000; 108.877000; 108.881000
Jump_Search; -1; 1194; 0.002000; 108.877000; 108.879000
Busca_Binaria; -1; 1194; 0.002000; 108.877000; 108.879000
Busca_Sequencial; -1; 1348; 0.027000; 0; 0.027000
Busca_Sequencial_Ordenado; -1; 1348; 0.004000; 108.877000; 108.881000
Jump_Search; -1; 1348; 0.001000; 108.877000; 108.878000
Busca_Binaria; -1; 1348; 0.002000; 108.877000; 108.879000
Busca_Sequencial; -1; 489; 0.031000; 0; 0.031000
Busca_Sequencial_Ordenado; -1; 489; 0.002000; 108.877000; 108.879000
Jump_Search; -1; 489; 0.002000; 108.877000; 108.879000
Busca_Binaria; -1; 489; 0.002000; 108.877000; 108.879000
Busca_Sequencial; -1; 1095; 0.027000; 0; 0.027000
Busca_Sequencial_Ordenado; -1; 1095; 0.003000; 108.877000; 108.880000
Jump_Search; -1; 1095; 0.002000; 108.877000; 108.879000
Busca_Binaria; -1; 1095; 0.001000; 108.877000; 108.878000
Busca_Sequencial; 1152; 1765; 0.009000; 0; 0.009000
Busca_Sequencial_Ordenado; 425; 1765; 0.004000; 108.877000; 108.881000
Jump_Search; 425; 1765; 0.002000; 108.877000; 108.879000
Busca_Binaria; 425; 1765; 0.001000; 108.877000; 108.878000
Busca_Sequencial; -1; 303; 0.026000; 0; 0.026000
Busca_Sequencial_Ordenado; -1; 303; 0.002000; 108.877000; 108.879000
Jump_Search; -1; 303; 0.001000; 108.877000; 108.878000
Busca_Binaria; -1; 303; 0.001000; 108.877000; 108.878000
Busca_Sequencial; 3396; 149; 0.022000; 0; 0.022000
Busca_Sequencial_Ordenado; 37; 149; 0.001000; 108.877000; 108.878000
Jump_Search; 37; 149; 0.002000; 108.877000; 108.879000
Busca_Binaria; 37; 149; 0.002000; 108.877000; 108.879000
Busca_Sequencial; 179; 1302; 0.003000; 0; 0.003000
Busca_Sequencial_Ordenado; 309; 1302; 0.004000; 108.877000; 108.881000
Jump_Search; 309; 1302; 0.001000; 108.877000; 108.878000
Busca_Binaria; 309; 1302; 0.001000; 108.877000; 108.878000
Busca_Sequencial; 3988; 1211; 0.026000; 0; 0.026000
Busca_Sequencial_Ordenado; 294; 1211; 0.004000; 108.877000; 108.881000
Jump_Search; 294; 1211; 0.002000; 108.877000; 108.879000
Busca_Binaria; 294; 1211; 0.002000; 108.877000; 108.879000
Busca_Sequencial; -1; 1708; 0.025000; 0; 0.025000
Busca_Sequencial_Ordenado; -1; 1708; 0.004000; 108.877000; 108.881000
Jump_Search; -1; 1708; 0.002000; 108.877000; 108.879000
Busca_Binaria; -1; 1708; 0.002000; 108.877000; 108.879000
Busca_Sequencial; -1; 1764; 0.025000; 0; 0.025000
Busca_Sequencial_Ordenado; -1; 1764; 0.005000; 108.877000; 108.882000
Jump_Search; -1; 1764; 0.002000; 108.877000; 108.879000
Busca_Binaria; -1; 1764; 0.001000; 108.877000; 108.878000
Busca_Sequencial; -1; 840; 0.026000; 0; 0.026000
Busca_Sequencial_Ordenado; -1; 840; 0.003000; 108.877000; 108.880000
Jump_Search; -1; 840; 0.002000; 108.877000; 108.879000
Busca_Binaria; -1; 840; 0.002000; 108.877000; 108.879000
Busca_Sequencial; -1; 1901; 0.026000; 0; 0.026000
Busca_Sequencial_Ordenado; -1; 1901; 0.005000; 108.877000; 108.882000
Jump_Search; -1; 1901; 0.002000; 108.877000; 108.879000
Busca_Binaria; -1; 1901; 0.001000; 108.877000; 108.878000
Busca_Sequencial; -1; 1450; 0.026000; 0; 0.026000
Busca_Sequencial_Ordenado; -1; 1450; 0.004000; 108.877000; 108.881000
Jump_Search; -1; 1450; 0.002000; 108.877000; 108.879000
Busca_Binaria; -1; 1450; 0.002000; 108.877000; 108.879000
Busca_Sequencial; 776; 308; 0.006000; 0; 0.006000
Busca_Sequencial_Ordenado; 76; 308; 0.001000; 108.877000; 108.878000
Jump_Search; 76; 308; 0.001000; 108.877000; 108.878000
Busca_Binaria; 76; 308; 0.002000; 108.877000; 108.879000
Busca_Sequencial; 220; 313; 0.002000; 0; 0.002000
Busca_Sequencial_Ordenado; 77; 313; 0.002000; 108.877000; 108.879000
Jump_Search; 77; 313; 0.002000; 108.877000; 108.879000
Busca_Binaria; 77; 313; 0.002000; 108.877000; 108.879000
Busca_Sequencial; -1; 1603; 0.026000; 0; 0.026000
Busca_Sequencial_Ordenado; -1; 1603; 0.004000; 108.877000; 108.881000
Jump_Search; -1; 1603; 0.001000; 108.877000; 108.878000
Busca_Binaria; -1; 1603; 0.001000; 108.877000; 108.878000
Busca_Sequencial; -1; 833; 0.026000; 0; 0.026000
Busca_Sequencial_Ordenado; -1; 833; 0.003000; 108.877000; 108.880000
Jump_Search; -1; 833; 0.002000; 108.877000; 108.879000
Busca_Binaria; -1; 833; 0.002000; 108.877000; 108.879000
Busca_Sequencial; -1; 163; 0.026000; 0; 0.026000
Busca_Sequencial_Ordenado; -1; 163; 0.002000; 108.877000; 108.879000
Jump_Search; -1; 163; 0.002000; 108.877000; 108.879000
Busca_Binaria; -1; 163; 0.002000; 108.877000; 108.879000
Busca_Sequencial; -1; 251; 0.026000; 0; 0.026000
Busca_Sequencial_Ordenado; -1; 251; 0.002000; 108.877000; 108.879000
Jump_Search; -1; 251; 0.002000; 108.877000; 108.879000
Busca_Binaria; -1; 251; 0.001000; 108.877000; 108.878000
Busca_Sequencial; -1; 1628; 0.026000; 0; 0.026000
