Busca;Posicao;Valor_Pesquisado;Tempo_Resposta;Tempo_Ordenar_Vetor;Tempo_Total_Busca
Sequencial; -1; 9092; 0.785000; 0; 0.785000
Ordenado; -1; 9092; 0.040000; 119773.510000; 119773.550000
Jump; -1; 9092; 0.003000; 119773.510000; 119773.513000
Binaria; -1; 9092; 0.002000; 119773.510000; 119773.512000
Sequencial; 21461; 1565; 0.129000; 0; 0.129000
Ordenado; 966; 1565; 0.008000; 119773.510000; 119773.518000
Jump; 966; 1565; 0.002000; 119773.510000; 119773.512000
Binaria; 966; 1565; 0.002000; 119773.510000; 119773.512000
Sequencial; 32243; 8501; 0.192000; 0; 0.192000
Ordenado; 5020; 8501; 0.036000; 119773.510000; 119773.546000
Jump; 5020; 8501; 0.002000; 119773.510000; 119773.512000
Binaria; 5020; 8501; 0.002000; 119773.510000; 119773.512000
Sequencial; 122221; 892; 0.716000; 0; 0.716000
Ordenado; 560; 892; 0.005000; 119773.510000; 119773.515000
Jump; 560; 892; 0.002000; 119773.510000; 119773.512000
Binaria; 560; 892; 0.002000; 119773.510000; 119773.512000
Sequencial; -1; 7266; 0.776000; 0; 0.776000
Ordenado; -1; 7266; 0.031000; 119773.510000; 119773.541000
Jump; -1; 7266; 0.002000; 119773.510000; 119773.512000
Binaria; -1; 7266; 0.002000; 119773.510000; 119773.512000
Sequencial; -1; 9094; 0.785000; 0; 0.785000
Ordenado; -1; 9094; 0.038000; 119773.510000; 119773.548000
Jump; -1; 9094; 0.003000; 119773.510000; 119773.513000
Binaria; -1; 9094; 0.002000; 119773.510000; 119773.512000
Sequencial; -1; 8044; 0.773000; 0; 0.773000
Ordenado; -1; 8044; 0.034000; 119773.510000; 119773.544000
Jump; -1; 8044; 0.002000; 119773.510000; 119773.512000
Binaria; -1; 8044; 0.002000; 119773.510000; 119773.512000
Sequencial; -1; 875; 0.774000; 0; 0.774000
Ordenado; -1; 875; 0.005000; 119773.510000; 119773.515000
Jump; -1; 875; 0.002000; 119773.510000; 119773.512000
Binaria; -1; 875; 0.002000; 119773.510000; 119773.512000
Sequencial; 129207; 6802; 0.764000; 0; 0.764000
Ordenado; 4040; 6802; 0.030000; 119773.510000; 119773.540000
Jump; 4040; 6802; 0.002000; 119773.510000; 119773.512000
Binaria; 4040; 6802; 0.001000; 119773.510000; 119773.511000
Sequencial; -1; 1964; 0.768000; 0; 0.768000
Ordenado; -1; 1964; 0.009000; 119773.510000; 119773.519000
Jump; -1; 1964; 0.002000; 119773.510000; 119773.512000
Binaria; -1; 1964; 0.002000; 119773.510000; 119773.512000
Sequencial; -1; 2418; 0.775000; 0; 0.775000
Ordenado; -1; 2418; 0.011000; 119773.510000; 119773.521000
Jump; -1; 2418; 0.001000; 119773.510000; 119773.511000
Binaria; -1; 2418; 0.001000; 119773.510000; 119773.511000
Sequencial; 35522; 9826; 0.211000; 0; 0.211000
Ordenado; 5757; 9826; 0.041000; 119773.510000; 119773.551000
Jump; 5757; 9826; 0.002000; 119773.510000; 119773.512000
Binaria; 5758; 9826; 0.002000; 119773.510000; 119773.512000
Sequencial; -1; 4068; 0.789000; 0; 0.789000
Ordenado; -1; 4068; 0.017000; 119773.510000; 119773.527000
Jump; -1; 4068; 0.002000; 119773.510000; 119773.512000
Binaria; -1; 4068; 0.001000; 119773.510000; 119773.511000
Sequencial; -1; 5575; 0.793000; 0; 0.793000
Ordenado; -1; 5575; 0.025000; 119773.510000; 119773.535000
Jump; -1; 5575; 0.002000; 119773.510000; 119773.512000
Binaria; -1; 5575; 0.002000; 119773.510000; 119773.512000
Sequencial; 64521; 3545; 0.389000; 0; 0.389000
Ordenado; 2121; 3545; 0.016000; 119773.510000; 119773.526000
Jump; 2121; 3545; 0.002000; 119773.510000; 119773.512000
Binaria; 2121; 3545; 0.002000; 119773.510000; 119773.512000
Sequencial; -1; 5990; 0.781000; 0; 0.781000
Ordenado; -1; 5990; 0.026000; 119773.510000; 119773.536000
Jump; -1; 5990; 0.002000; 119773.510000; 119773.512000
Binaria; -1; 5990; 0.002000; 119773.510000; 119773.512000
Sequencial; 87675; 848; 0.537000; 0; 0.537000
Ordenado; 534; 848; 0.005000; 119773.510000; 119773.515000
Jump; 534; 848; 0.002000; 119773.510000; 119773.512000
Binaria; 534; 848; 0.002000; 119773.510000; 119773.512000
Sequencial; -1; 3194; 0.777000; 0; 0.777000
Ordenado; -1; 3194; 0.015000; 119773.510000; 119773.525000
Jump; -1; 3194; 0.002000; 119773.510000; 119773.512000
