Busca;Posicao;Valor_Pesquisado;Tempo_Resposta;Tempo_Ordenar_Vetor;Tempo_Total_Busca
Sequencial; 31089; 3795; 0.195000; 0; 0.195000
Ordenado; 3032; 3795; 0.023000; 31040.821000; 31040.844000
Jump; 3032; 3795; 0.003000; 31040.821000; 31040.824000
Binaria; 3032; 3795; 0.002000; 31040.821000; 31040.823000
Sequencial; 450; 2216; 0.004000; 0; 0.004000
Ordenado; 1776; 2216; 0.014000; 31040.821000; 31040.835000
Jump; 1776; 2216; 0.003000; 31040.821000; 31040.824000
Binaria; 1776; 2216; 0.002000; 31040.821000; 31040.823000
Sequencial; 59117; 1633; 0.360000; 0; 0.360000
Ordenado; 1327; 1633; 0.011000; 31040.821000; 31040.832000
Jump; 1327; 1633; 0.002000; 31040.821000; 31040.823000
Binaria; 1327; 1633; 0.002000; 31040.821000; 31040.823000
Sequencial; 30722; 7415; 0.186000; 0; 0.186000
Ordenado; 6072; 7415; 0.045000; 31040.821000; 31040.866000
Jump; 6072; 7415; 0.003000; 31040.821000; 31040.824000
Binaria; 6072; 7415; 0.002000; 31040.821000; 31040.823000
Sequencial; 37971; 965; 0.229000; 0; 0.229000
Ordenado; 813; 965; 0.007000; 31040.821000; 31040.828000
Jump; 813; 965; 0.001000; 31040.821000; 31040.822000
Binaria; 813; 965; 0.002000; 31040.821000; 31040.823000
Sequencial; 59547; 8096; 0.355000; 0; 0.355000
Ordenado; 6608; 8096; 0.048000; 31040.821000; 31040.869000
Jump; 6608; 8096; 0.004000; 31040.821000; 31040.825000
Binaria; 6608; 8096; 0.002000; 31040.821000; 31040.823000
Sequencial; -1; 5864; 0.395000; 0; 0.395000
Ordenado; -1; 5864; 0.036000; 31040.821000; 31040.857000
Jump; -1; 5864; 0.002000; 31040.821000; 31040.823000
Binaria; -1; 5864; 0.002000; 31040.821000; 31040.823000
Sequencial; 3124; 2483; 0.020000; 0; 0.020000
Ordenado; 1989; 2483; 0.015000; 31040.821000; 31040.836000
Jump; 1989; 2483; 0.002000; 31040.821000; 31040.823000
Binaria; 1990; 2483; 0.002000; 31040.821000; 31040.823000
Sequencial; -1; 3122; 0.387000; 0; 0.387000
Ordenado; -1; 3122; 0.019000; 31040.821000; 31040.840000
Jump; -1; 3122; 0.002000; 31040.821000; 31040.823000
Binaria; -1; 3122; 0.001000; 31040.821000; 31040.822000
Sequencial; 15814; 871; 0.097000; 0; 0.097000
Ordenado; 708; 871; 0.007000; 31040.821000; 31040.828000
Jump; 708; 871; 0.002000; 31040.821000; 31040.823000
Binaria; 708; 871; 0.002000; 31040.821000; 31040.823000
Sequencial; 22442; 4856; 0.135000; 0; 0.135000
Ordenado; 3987; 4856; 0.030000; 31040.821000; 31040.851000
Jump; 3987; 4856; 0.002000; 31040.821000; 31040.823000
Binaria; 3988; 4856; 0.002000; 31040.821000; 31040.823000
Sequencial; 1374; 8300; 0.010000; 0; 0.010000
Ordenado; 6775; 8300; 0.048000; 31040.821000; 31040.869000
Jump; 6775; 8300; 0.003000; 31040.821000; 31040.824000
Binaria; 6775; 8300; 0.002000; 31040.821000; 31040.823000
Sequencial; -1; 4295; 0.390000; 0; 0.390000
Ordenado; -1; 4295; 0.025000; 31040.821000; 31040.846000
Jump; -1; 4295; 0.002000; 31040.821000; 31040.823000
Binaria; -1; 4295; 0.002000; 31040.821000; 31040.823000
Sequencial; 1955; 9869; 0.013000; 0; 0.013000
Ordenado; 8105; 9869; 0.057000; 31040.821000; 31040.878000
Jump; 8105; 9869; 0.002000; 31040.821000; 31040.823000
Binaria; 8105; 9869; 0.002000; 31040.821000; 31040.823000
Sequencial; -1; 8866; 0.388000; 0; 0.388000
Ordenado; -1; 8866; 0.051000; 31040.821000; 31040.872000
Jump; -1; 8866; 0.003000; 31040.821000; 31040.824000
Binaria; -1; 8866; 0.002000; 31040.821000; 31040.823000
Sequencial; 44251; 116; 0.262000; 0; 0.262000
Ordenado; 101; 116; 0.002000; 31040.821000; 31040.823000
Jump; 101; 116; 0.002000; 31040.821000; 31040.823000
Binaria; 101; 116; 0.002000; 31040.821000; 31040.823000
Sequencial; -1; 3602; 0.388000; 0; 0.388000
Ordenado; -1; 3602; 0.022000; 31040.821000; 31040.843000
Jump; -1; 3602; 0.002000; 31040.821000; 31040.823000
Binaria; -1; 3602; 0.002000; 31040.821000; 31040.823000
Sequencial; -1; 5430; 0.388000; 0; 0.388000
Ordenado; -1; 5430; 0.033000; 31040.821000; 31040.854000
Jump; -1; 5430; 0.002000; 31040.821000; 31040.823000
Binaria; -1; 5430; 0.002000; 31040.821000; 31040.823000
Sequencial; 19916; 3957; 0.117000; 0; 0.117000
Ordenado; 3178; 3957; 0.023000; 31040.821000; 31040.844000
Jump; 3178; 3957; 0.002000; 31040.821000; 31040.823000
Binaria; 3178; 3957; 0.002000; 31040.821000; 31040.823000
Sequencial; 25658; 2120; 0.153000; 0; 0.153000
Ordenado; 1705; 2120; 0.013000; 31040.821000; 31040.834000
Jump; 1705; 2120; 0.002000; 31040.821000; 31040.823000
Binaria; 1705; 2120; 0.002000; 31040.821000; 31040.823000
Sequencial; 53826; 5618; 0.329000; 0; 0.329000
Ordenado; 4620; 5618; 0.034000; 31040.821000; 31040.855000
Jump; 4620; 5618; 0.003000; 31040.821000; 31040.824000
Binaria; 4620; 5618; 0.001000; 31040.821000; 31040.822000
Sequencial; -1; 2346; 0.394000; 0; 0.394000
Ordenado; -1; 2346; 0.015000; 31040.821000; 31040.836000
Jump; -1; 2346; 0.003000; 31040.821000; 31040.824000
Binaria; -1; 2346; 0.002000; 31040.821000; 31040.823000
