Busca;Posicao;Valor_Pesquisado;Tempo_Resposta;Tempo_Ordenar_Vetor;Tempo_Total_Busca
Busca_Sequencial; 944; 152; 0.008000; 0; 0.008000
Busca_Sequencial_Ordenado; 36; 152; 0.002000; 6.745000; 6.747000
Jump_Search; 36; 152; 0.002000; 6.745000; 6.747000
Busca_Binaria; 36; 152; 0.002000; 6.745000; 6.747000
Busca_Sequencial; 615; 112; 0.005000; 0; 0.005000
Busca_Sequencial_Ordenado; 27; 112; 0.001000; 6.745000; 6.746000
Jump_Search; 27; 112; 0.001000; 6.745000; 6.746000
Busca_Binaria; 27; 112; 0.002000; 6.745000; 6.747000
Busca_Sequencial; 437; 111; 0.005000; 0; 0.005000
Busca_Sequencial_Ordenado; 26; 111; 0.002000; 6.745000; 6.747000
Jump_Search; 26; 111; 0.001000; 6.745000; 6.746000
Busca_Binaria; 26; 111; 0.002000; 6.745000; 6.747000
Busca_Sequencial; -1; 9; 0.007000; 0; 0.007000
Busca_Sequencial_Ordenado; -1; 9; 0.002000; 6.745000; 6.747000
Jump_Search; -1; 9; 0.001000; 6.745000; 6.746000
Busca_Binaria; -1; 9; 0.002000; 6.745000; 6.747000
Busca_Sequencial; 615; 112; 0.005000; 0; 0.005000
Busca_Sequencial_Ordenado; 27; 112; 0.002000; 6.745000; 6.747000
Jump_Search; 27; 112; 0.002000; 6.745000; 6.747000
Busca_Binaria; 27; 112; 0.002000; 6.745000; 6.747000
Busca_Sequencial; -1; 191; 0.008000; 0; 0.008000
Busca_Sequencial_Ordenado; -1; 191; 0.001000; 6.745000; 6.746000
Jump_Search; -1; 191; 0.002000; 6.745000; 6.747000
Busca_Binaria; -1; 191; 0.001000; 6.745000; 6.746000
Busca_Sequencial; 646; 49; 0.005000; 0; 0.005000
Busca_Sequencial_Ordenado; 10; 49; 0.001000; 6.745000; 6.746000
Jump_Search; 10; 49; 0.002000; 6.745000; 6.747000
Busca_Binaria; 10; 49; 0.001000; 6.745000; 6.746000
Busca_Sequencial; 198; 43; 0.002000; 0; 0.002000
Busca_Sequencial_Ordenado; 7; 43; 0.002000; 6.745000; 6.747000
Jump_Search; 7; 43; 0.002000; 6.745000; 6.747000
Busca_Binaria; 7; 43; 0.001000; 6.745000; 6.746000
Busca_Sequencial; -1; 13; 0.007000; 0; 0.007000
Busca_Sequencial_Ordenado; -1; 13; 0.001000; 6.745000; 6.746000
Jump_Search; -1; 13; 0.002000; 6.745000; 6.747000
Busca_Binaria; -1; 13; 0.001000; 6.745000; 6.746000
Busca_Sequencial; -1; 52; 0.008000; 0; 0.008000
Busca_Sequencial_Ordenado; -1; 52; 0.005000; 6.745000; 6.750000
Jump_Search; -1; 52; 0.004000; 6.745000; 6.749000
Busca_Binaria; -1; 52; 0.002000; 6.745000; 6.747000
Busca_Sequencial; -1; 14; 0.008000; 0; 0.008000
Busca_Sequencial_Ordenado; -1; 14; 0.002000; 6.745000; 6.747000
Jump_Search; -1; 14; 0.002000; 6.745000; 6.747000
Busca_Binaria; -1; 14; 0.001000; 6.745000; 6.746000
Busca_Sequencial; -1; 29; 0.008000; 0; 0.008000
Busca_Sequencial_Ordenado; -1; 29; 0.002000; 6.745000; 6.747000
Jump_Search; -1; 29; 0.002000; 6.745000; 6.747000
Busca_Binaria; -1; 29; 0.001000; 6.745000; 6.746000
