Busca;Posicao;Valor_Pesquisado;Tempo_Resposta;Tempo_Ordenar_Vetor;Tempo_Total_Busca
Sequencial; -1; 1343; 0.101000; 0; 0.101000
Ordenado; -1; 1343; 0.007000; 1755.526000; 1755.533000
Jump; -1; 1343; 0.003000; 1755.526000; 1755.529000
Binaria; -1; 1343; 0.002000; 1755.526000; 1755.528000
Sequencial; -1; 1195; 0.121000; 0; 0.121000
Ordenado; -1; 1195; 0.006000; 1755.526000; 1755.532000
Jump; -1; 1195; 0.002000; 1755.526000; 1755.528000
Binaria; -1; 1195; 0.001000; 1755.526000; 1755.527000
Sequencial; 1518; 1859; 0.010000; 0; 0.010000
Ordenado; 1042; 1859; 0.009000; 1755.526000; 1755.535000
Jump; 1042; 1859; 0.003000; 1755.526000; 1755.529000
Binaria; 1042; 1859; 0.002000; 1755.526000; 1755.528000
Sequencial; 2488; 1178; 0.017000; 0; 0.017000
Ordenado; 661; 1178; 0.006000; 1755.526000; 1755.532000
Jump; 661; 1178; 0.002000; 1755.526000; 1755.528000
Binaria; 661; 1178; 0.002000; 1755.526000; 1755.528000
Sequencial; -1; 1934; 0.102000; 0; 0.102000
Ordenado; -1; 1934; 0.010000; 1755.526000; 1755.536000
Jump; -1; 1934; 0.002000; 1755.526000; 1755.528000
Binaria; -1; 1934; 0.002000; 1755.526000; 1755.528000
Sequencial; 1781; 1214; 0.012000; 0; 0.012000
Ordenado; 688; 1214; 0.006000; 1755.526000; 1755.532000
Jump; 688; 1214; 0.002000; 1755.526000; 1755.528000
Binaria; 688; 1214; 0.001000; 1755.526000; 1755.527000
Sequencial; -1; 78; 0.101000; 0; 0.101000
Ordenado; -1; 78; 0.002000; 1755.526000; 1755.528000
Jump; -1; 78; 0.001000; 1755.526000; 1755.527000
Binaria; -1; 78; 0.002000; 1755.526000; 1755.528000
Sequencial; -1; 1778; 0.100000; 0; 0.100000
Ordenado; -1; 1778; 0.008000; 1755.526000; 1755.534000
