Busca;Posicao;Valor_Pesquisado;Tempo_Resposta;Tempo_Ordenar_Vetor;Tempo_Total_Busca
Sequencial; -1; 4444; 0.202000; 0; 0.202000
Ordenado; -1; 4444; 0.023000; 7348.897000; 7348.920000
Jump; -1; 4444; 0.013000; 7348.897000; 7348.910000
Binaria; -1; 4444; 0.002000; 7348.897000; 7348.899000
Sequencial; 14492; 555; 0.089000; 0; 0.089000
Ordenado; 363; 555; 0.004000; 7348.897000; 7348.901000
Jump; 363; 555; 0.002000; 7348.897000; 7348.899000
Binaria; 363; 555; 0.002000; 7348.897000; 7348.899000
Sequencial; 9577; 743; 0.063000; 0; 0.063000
Ordenado; 484; 743; 0.004000; 7348.897000; 7348.901000
Jump; 484; 743; 0.002000; 7348.897000; 7348.899000
Binaria; 484; 743; 0.001000; 7348.897000; 7348.898000
Sequencial; 22534; 4489; 0.136000; 0; 0.136000
Ordenado; 3008; 4489; 0.022000; 7348.897000; 7348.919000
Jump; 3008; 4489; 0.002000; 7348.897000; 7348.899000
Binaria; 3008; 4489; 0.001000; 7348.897000; 7348.898000
Sequencial; 24136; 326; 0.142000; 0; 0.142000
Ordenado; 212; 326; 0.003000; 7348.897000; 7348.900000
Jump; 212; 326; 0.002000; 7348.897000; 7348.899000
Binaria; 212; 326; 0.002000; 7348.897000; 7348.899000
Sequencial; -1; 4960; 0.195000; 0; 0.195000
Ordenado; -1; 4960; 0.023000; 7348.897000; 7348.920000
Jump; -1; 4960; 0.002000; 7348.897000; 7348.899000
Binaria; -1; 4960; 0.002000; 7348.897000; 7348.899000
Sequencial; 13320; 18; 0.093000; 0; 0.093000
Ordenado; 9; 18; 0.001000; 7348.897000; 7348.898000
Jump; 9; 18; 0.002000; 7348.897000; 7348.899000
Binaria; 10; 18; 0.001000; 7348.897000; 7348.898000
Sequencial; 19553; 3119; 0.117000; 0; 0.117000
Ordenado; 2096; 3119; 0.015000; 7348.897000; 7348.912000
Jump; 2096; 3119; 0.002000; 7348.897000; 7348.899000
Binaria; 2096; 3119; 0.001000; 7348.897000; 7348.898000
Sequencial; -1; 2305; 0.195000; 0; 0.195000
Ordenado; -1; 2305; 0.011000; 7348.897000; 7348.908000
