Busca;Posicao;Valor_Pesquisado;Tempo_Resposta;Tempo_Ordenar_Vetor;Tempo_Total_Busca
Sequencial; -1; 10140; 6.278000; 0; 6.278000
Ordenado; -1; 10140; 0.059000; 8015752.091000; 8015752.150000
Jump; -1; 10140; 0.004000; 8015752.091000; 8015752.095000
Binaria; -1; 10140; 0.002000; 8015752.091000; 8015752.093000
Sequencial; 979166; 17955; 5.897000; 0; 5.897000
Ordenado; 14480; 17955; 0.109000; 8015752.091000; 8015752.200000
Jump; 14480; 17955; 0.003000; 8015752.091000; 8015752.094000
Binaria; 14480; 17955; 0.002000; 8015752.091000; 8015752.093000
Sequencial; 832684; 78013; 5.023000; 0; 5.023000
Ordenado; 63133; 78013; 0.444000; 8015752.091000; 8015752.535000
Jump; 63133; 78013; 0.005000; 8015752.091000; 8015752.096000
Binaria; 63134; 78013; 0.002000; 8015752.091000; 8015752.093000
Sequencial; -1; 79817; 6.503000; 0; 6.503000
Ordenado; -1; 79817; 0.456000; 8015752.091000; 8015752.547000
Jump; -1; 79817; 0.004000; 8015752.091000; 8015752.095000
Binaria; -1; 79817; 0.003000; 8015752.091000; 8015752.094000
Sequencial; -1; 88901; 6.235000; 0; 6.235000
Ordenado; -1; 88901; 0.505000; 8015752.091000; 8015752.596000
Jump; -1; 88901; 0.003000; 8015752.091000; 8015752.094000
Binaria; -1; 88901; 0.003000; 8015752.091000; 8015752.094000
Sequencial; -1; 9868; 6.208000; 0; 6.208000
Ordenado; -1; 9868; 0.057000; 8015752.091000; 8015752.148000
Jump; -1; 9868; 0.003000; 8015752.091000; 8015752.094000
Binaria; -1; 9868; 0.003000; 8015752.091000; 8015752.094000
Sequencial; 159264; 27452; 0.949000; 0; 0.949000
Ordenado; 22119; 27452; 0.155000; 8015752.091000; 8015752.246000
Jump; 22119; 27452; 0.003000; 8015752.091000; 8015752.094000
Binaria; 22120; 27452; 0.002000; 8015752.091000; 8015752.093000
Sequencial; 202443; 73971; 1.191000; 0; 1.191000
Ordenado; 59842; 73971; 0.420000; 8015752.091000; 8015752.511000
Jump; 59842; 73971; 0.003000; 8015752.091000; 8015752.094000
Binaria; 59842; 73971; 0.002000; 8015752.091000; 8015752.093000
Sequencial; 817322; 66206; 4.844000; 0; 4.844000
Ordenado; 53561; 66206; 0.378000; 8015752.091000; 8015752.469000
Jump; 53561; 66206; 0.003000; 8015752.091000; 8015752.094000
Binaria; 53561; 66206; 0.002000; 8015752.091000; 8015752.093000
Sequencial; -1; 36787; 6.412000; 0; 6.412000
Ordenado; -1; 36787; 0.211000; 8015752.091000; 8015752.302000
Jump; -1; 36787; 0.002000; 8015752.091000; 8015752.093000
Binaria; -1; 36787; 0.002000; 8015752.091000; 8015752.093000
