Busca;Posicao;Valor_Pesquisado;Tempo_Resposta;Tempo_Ordenar_Vetor;Tempo_Total_Busca
Sequencial; 1734; 1176; 0.013000; 0; 0.013000
Ordenado; 472; 1176; 0.006000; 428.220000; 428.226000
Jump; 472; 1176; 0.003000; 428.220000; 428.223000
Binaria; 472; 1176; 0.002000; 428.220000; 428.222000
Sequencial; 3458; 463; 0.022000; 0; 0.022000
Ordenado; 195; 463; 0.003000; 428.220000; 428.223000
Jump; 195; 463; 0.002000; 428.220000; 428.222000
Binaria; 195; 463; 0.001000; 428.220000; 428.221000
Sequencial; 3804; 1206; 0.024000; 0; 0.024000
Ordenado; 491; 1206; 0.004000; 428.220000; 428.224000
Jump; 491; 1206; 0.002000; 428.220000; 428.222000
Binaria; 491; 1206; 0.001000; 428.220000; 428.221000
Sequencial; -1; 476; 0.050000; 0; 0.050000
Ordenado; -1; 476; 0.003000; 428.220000; 428.223000
Jump; -1; 476; 0.002000; 428.220000; 428.222000
Binaria; -1; 476; 0.002000; 428.220000; 428.222000
Sequencial; -1; 1825; 0.051000; 0; 0.051000
Ordenado; -1; 1825; 0.007000; 428.220000; 428.227000
Jump; -1; 1825; 0.002000; 428.220000; 428.222000
Binaria; -1; 1825; 0.001000; 428.220000; 428.221000
Sequencial; -1; 4; 0.050000; 0; 0.050000
Ordenado; -1; 4; 0.001000; 428.220000; 428.221000
Jump; -1; 4; 0.002000; 428.220000; 428.222000
Binaria; -1; 4; 0.001000; 428.220000; 428.221000
Sequencial; 1217; 239; 0.009000; 0; 0.009000
Ordenado; 99; 239; 0.002000; 428.220000; 428.222000
Jump; 99; 239; 0.002000; 428.220000; 428.222000
Binaria; 99; 239; 0.002000; 428.220000; 428.222000
Sequencial; -1; 1970; 0.049000; 0; 0.049000
Ordenado; -1; 1970; 0.007000; 428.220000; 428.227000
Jump; -1; 1970; 0.002000; 428.220000; 428.222000
Binaria; -1; 1970; 0.002000; 428.220000; 428.222000
Sequencial; 8142; 802; 0.049000; 0; 0.049000
Ordenado; 332; 802; 0.004000; 428.220000; 428.224000
Jump; 332; 802; 0.002000; 428.220000; 428.222000
Binaria; 332; 802; 0.001000; 428.220000; 428.221000
Sequencial; -1; 136; 0.050000; 0; 0.050000
Ordenado; -1; 136; 0.002000; 428.220000; 428.222000
Jump; -1; 136; 0.002000; 428.220000; 428.222000
Binaria; -1; 136; 0.001000; 428.220000; 428.221000
Sequencial; 2915; 1318; 0.019000; 0; 0.019000
Ordenado; 546; 1318; 0.005000; 428.220000; 428.225000
Jump; 546; 1318; 0.002000; 428.220000; 428.222000
Binaria; 546; 1318; 0.002000; 428.220000; 428.222000
Sequencial; -1; 588; 0.049000; 0; 0.049000
Ordenado; -1; 588; 0.003000; 428.220000; 428.223000
Jump; -1; 588; 0.001000; 428.220000; 428.221000
Binaria; -1; 588; 0.002000; 428.220000; 428.222000
Sequencial; -1; 835; 0.049000; 0; 0.049000
Ordenado; -1; 835; 0.004000; 428.220000; 428.224000
Jump; -1; 835; 0.001000; 428.220000; 428.221000
Binaria; -1; 835; 0.002000; 428.220000; 428.222000
Sequencial; 7028; 447; 0.044000; 0; 0.044000
Ordenado; 189; 447; 0.002000; 428.220000; 428.222000
Jump; 189; 447; 0.002000; 428.220000; 428.222000
Binaria; 189; 447; 0.002000; 428.220000; 428.222000
Sequencial; -1; 338; 0.049000; 0; 0.049000
Ordenado; -1; 338; 0.002000; 428.220000; 428.222000
Jump; -1; 338; 0.002000; 428.220000; 428.222000
Binaria; -1; 338; 0.002000; 428.220000; 428.222000
Sequencial; 3481; 744; 0.022000; 0; 0.022000
Ordenado; 314; 744; 0.004000; 428.220000; 428.224000
Jump; 314; 744; 0.002000; 428.220000; 428.222000
Binaria; 314; 744; 0.001000; 428.220000; 428.221000
Sequencial; -1; 1426; 0.050000; 0; 0.050000
Ordenado; -1; 1426; 0.005000; 428.220000; 428.225000
Jump; -1; 1426; 0.002000; 428.220000; 428.222000
Binaria; -1; 1426; 0.002000; 428.220000; 428.222000
Sequencial; 8190; 1031; 0.050000; 0; 0.050000
Ordenado; 414; 1031; 0.004000; 428.220000; 428.224000
Jump; 414; 1031; 0.002000; 428.220000; 428.222000
Binaria; 414; 1031; 0.001000; 428.220000; 428.221000
Sequencial; -1; 857; 0.049000; 0; 0.049000
Ordenado; -1; 857; 0.004000; 428.220000; 428.224000
Jump; -1; 857; 0.002000; 428.220000; 428.222000
Binaria; -1; 857; 0.001000; 428.220000; 428.221000
Sequencial; -1; 970; 0.051000; 0; 0.051000
Ordenado; -1; 970; 0.004000; 428.220000; 428.224000
Jump; -1; 970; 0.002000; 428.220000; 428.222000
Binaria; -1; 970; 0.001000; 428.220000; 428.221000
Sequencial; -1; 1416; 0.050000; 0; 0.050000
Ordenado; -1; 1416; 0.006000; 428.220000; 428.226000
Jump; -1; 1416; 0.002000; 428.220000; 428.222000
Binaria; -1; 1416; 0.002000; 428.220000; 428.222000
Sequencial; -1; 1357; 0.051000; 0; 0.051000
Ordenado; -1; 1357; 0.006000; 428.220000; 428.226000
Jump; -1; 1357; 0.002000; 428.220000; 428.222000
Binaria; -1; 1357; 0.002000; 428.220000; 428.222000
Sequencial; 4921; 874; 0.030000; 0; 0.030000
Ordenado; 351; 874; 0.004000; 428.220000; 428.224000
Jump; 351; 874; 0.002000; 428.220000; 428.222000
Binaria; 352; 874; 0.002000; 428.220000; 428.222000
Sequencial; -1; 1871; 0.049000; 0; 0.049000
Ordenado; -1; 1871; 0.007000; 428.220000; 428.227000
Jump; -1; 1871; 0.002000; 428.220000; 428.222000
Binaria; -1; 1871; 0.004000; 428.220000; 428.224000
Sequencial; 2738; 968; 0.017000; 0; 0.017000
Ordenado; 387; 968; 0.004000; 428.220000; 428.224000
Jump; 387; 968; 0.002000; 428.220000; 428.222000
Binaria; 387; 968; 0.002000; 428.220000; 428.222000
Sequencial; -1; 1544; 0.050000; 0; 0.050000
Ordenado; -1; 1544; 0.006000; 428.220000; 428.226000
Jump; -1; 1544; 0.002000; 428.220000; 428.222000
Binaria; -1; 1544; 0.002000; 428.220000; 428.222000
Sequencial; -1; 977; 0.050000; 0; 0.050000
Ordenado; -1; 977; 0.004000; 428.220000; 428.224000
Jump; -1; 977; 0.002000; 428.220000; 428.222000
Binaria; -1; 977; 0.002000; 428.220000; 428.222000
Sequencial; -1; 1920; 0.050000; 0; 0.050000
Ordenado; -1; 1920; 0.007000; 428.220000; 428.227000
Jump; -1; 1920; 0.002000; 428.220000; 428.222000
Binaria; -1; 1920; 0.001000; 428.220000; 428.221000
Sequencial; 7073; 1125; 0.042000; 0; 0.042000
Ordenado; 443; 1125; 0.005000; 428.220000; 428.225000
Jump; 443; 1125; 0.002000; 428.220000; 428.222000
Binaria; 443; 1125; 0.001000; 428.220000; 428.221000
Sequencial; 7464; 8; 0.046000; 0; 0.046000
Ordenado; 7; 8; 0.001000; 428.220000; 428.221000
Jump; 7; 8; 0.002000; 428.220000; 428.222000
Binaria; 7; 8; 0.001000; 428.220000; 428.221000
Sequencial; -1; 922; 0.050000; 0; 0.050000
Ordenado; -1; 922; 0.004000; 428.220000; 428.224000
Jump; -1; 922; 0.001000; 428.220000; 428.221000
Binaria; -1; 922; 0.002000; 428.220000; 428.222000
Sequencial; -1; 301; 0.050000; 0; 0.050000
Ordenado; -1; 301; 0.002000; 428.220000; 428.222000
Jump; -1; 301; 0.002000; 428.220000; 428.222000
Binaria; -1; 301; 0.002000; 428.220000; 428.222000
Sequencial; -1; 823; 0.049000; 0; 0.049000
Ordenado; -1; 823; 0.003000; 428.220000; 428.223000
Jump; -1; 823; 0.002000; 428.220000; 428.222000
Binaria; -1; 823; 0.002000; 428.220000; 428.222000
Sequencial; -1; 480; 0.050000; 0; 0.050000
Ordenado; -1; 480; 0.003000; 428.220000; 428.223000
Jump; -1; 480; 0.002000; 428.220000; 428.222000
Binaria; -1; 480; 0.001000; 428.220000; 428.221000
Sequencial; -1; 777; 0.050000; 0; 0.050000
Ordenado; -1; 777; 0.004000; 428.220000; 428.224000
Jump; -1; 777; 0.002000; 428.220000; 428.222000
Binaria; -1; 777; 0.001000; 428.220000; 428.221000
Sequencial; -1; 1000; 0.050000; 0; 0.050000
Ordenado; -1; 1000; 0.004000; 428.220000; 428.224000
Jump; -1; 1000; 0.002000; 428.220000; 428.222000
Binaria; -1; 1000; 0.002000; 428.220000; 428.222000
Sequencial; -1; 485; 0.049000; 0; 0.049000
Ordenado; -1; 485; 0.003000; 428.220000; 428.223000
Jump; -1; 485; 0.001000; 428.220000; 428.221000
Binaria; -1; 485; 0.002000; 428.220000; 428.222000
Sequencial; 3912; 1016; 0.024000; 0; 0.024000
Ordenado; 411; 1016; 0.004000; 428.220000; 428.224000
Jump; 411; 1016; 0.002000; 428.220000; 428.222000
Binaria; 411; 1016; 0.001000; 428.220000; 428.221000
Sequencial; -1; 971; 0.050000; 0; 0.050000
Ordenado; -1; 971; 0.004000; 428.220000; 428.224000
Jump; -1; 971; 0.002000; 428.220000; 428.222000
Binaria; -1; 971; 0.001000; 428.220000; 428.221000
Sequencial; -1; 1287; 0.066000; 0; 0.066000
Ordenado; -1; 1287; 0.005000; 428.220000; 428.225000
Jump; -1; 1287; 0.002000; 428.220000; 428.222000
Binaria; -1; 1287; 0.001000; 428.220000; 428.221000
Sequencial; -1; 1504; 0.050000; 0; 0.050000
