Busca;Posicao;Valor_Pesquisado;Tempo_Resposta;Tempo_Ordenar_Vetor;Tempo_Total_Busca
Jump; 1109; 2143; 0.002000; 105.096000; 105.098000
Binaria; 1109; 2143; 0.001000; 105.096000; 105.097000
Sequencial; -1; 663; 0.026000; 0; 0.026000
Ordenado; -1; 663; 0.003000; 105.096000; 105.099000
Jump; -1; 663; 0.002000; 105.096000; 105.098000
Binaria; -1; 663; 0.002000; 105.096000; 105.098000
Sequencial; -1; 1280; 0.026000; 0; 0.026000
Ordenado; -1; 1280; 0.006000; 105.096000; 105.102000
Jump; -1; 1280; 0.002000; 105.096000; 105.098000
Binaria; -1; 1280; 0.002000; 105.096000; 105.098000
Sequencial; -1; 3998; 0.026000; 0; 0.026000
Ordenado; -1; 3998; 0.016000; 105.096000; 105.112000
Jump; -1; 3998; 0.003000; 105.096000; 105.099000
Binaria; -1; 3998; 0.002000; 105.096000; 105.098000
Sequencial; -1; 2888; 0.025000; 0; 0.025000
Ordenado; -1; 2888; 0.012000; 105.096000; 105.108000
Jump; -1; 2888; 0.003000; 105.096000; 105.099000
Binaria; -1; 2888; 0.002000; 105.096000; 105.098000
Sequencial; -1; 2709; 0.025000; 0; 0.025000
Ordenado; -1; 2709; 0.011000; 105.096000; 105.107000
Jump; -1; 2709; 0.002000; 105.096000; 105.098000
Binaria; -1; 2709; 0.002000; 105.096000; 105.098000
Sequencial; 3962; 3827; 0.025000; 0; 0.025000
Ordenado; 1979; 3827; 0.015000; 105.096000; 105.111000
Jump; 1979; 3827; 0.003000; 105.096000; 105.099000
Binaria; 1979; 3827; 0.002000; 105.096000; 105.098000
Sequencial; 1290; 3997; 0.009000; 0; 0.009000
Ordenado; 2066; 3997; 0.016000; 105.096000; 105.112000
Jump; 2066; 3997; 0.003000; 105.096000; 105.099000
Binaria; 2066; 3997; 0.002000; 105.096000; 105.098000
Sequencial; 2461; 3822; 0.016000; 0; 0.016000
Ordenado; 1977; 3822; 0.015000; 105.096000; 105.111000
Jump; 1977; 3822; 0.002000; 105.096000; 105.098000
Binaria; 1977; 3822; 0.002000; 105.096000; 105.098000
Sequencial; -1; 3899; 0.025000; 0; 0.025000
Ordenado; -1; 3899; 0.016000; 105.096000; 105.112000
Jump; -1; 3899; 0.002000; 105.096000; 105.098000
Binaria; -1; 3899; 0.002000; 105.096000; 105.098000
Sequencial; -1; 659; 0.025000; 0; 0.025000
Ordenado; -1; 659; 0.004000; 105.096000; 105.100000
Jump; -1; 659; 0.002000; 105.096000; 105.098000
Binaria; -1; 659; 0.001000; 105.096000; 105.097000
Sequencial; 1070; 1354; 0.008000; 0; 0.008000
Ordenado; 722; 1354; 0.006000; 105.096000; 105.102000
Jump; 722; 1354; 0.002000; 105.096000; 105.098000
Binaria; 722; 1354; 0.002000; 105.096000; 105.098000
Sequencial; -1; 1192; 0.025000; 0; 0.025000
Ordenado; -1; 1192; 0.006000; 105.096000; 105.102000
Jump; -1; 1192; 0.002000; 105.096000; 105.098000
Binaria; -1; 1192; 0.002000; 105.096000; 105.098000
Sequencial; 337; 742; 0.003000; 0; 0.003000
Ordenado; 384; 742; 0.003000; 105.096000; 105.099000
Jump; 384; 742; 0.002000; 105.096000; 105.098000
Binaria; 384; 742; 0.001000; 105.096000; 105.097000
Sequencial; 241; 3850; 0.003000; 0; 0.003000
Ordenado; 1995; 3850; 0.015000; 105.096000; 105.111000
Jump; 1995; 3850; 0.002000; 105.096000; 105.098000
Binaria; 1996; 3850; 0.001000; 105.096000; 105.097000
Sequencial; -1; 2985; 0.026000; 0; 0.026000
Ordenado; -1; 2985; 0.012000; 105.096000; 105.108000
Jump; -1; 2985; 0.002000; 105.096000; 105.098000
Binaria; -1; 2985; 0.001000; 105.096000; 105.097000
Sequencial; -1; 392; 0.026000; 0; 0.026000
Ordenado; -1; 392; 0.003000; 105.096000; 105.099000
Jump; -1; 392; 0.002000; 105.096000; 105.098000
Binaria; -1; 392; 0.001000; 105.096000; 105.097000
Sequencial; 2417; 2539; 0.015000; 0; 0.015000
